Temperature (K),Hall Resistivity Antisym Smooth (uOhm-cm)
2.20233115196228,0.08241479241592581
2.78214506149292,0.04955424567341677
2.80367036819458,0.020708857026387598
3.32181195259094,-0.004121373525161717
3.32793452262878,-0.024936445981231167
3.84569884300232,-0.04173636034182075
3.86243025779724,-0.05452111660693045
4.36449920654297,-0.06329071477656058
4.36516662597656,-0.07026208523124769
4.91966384887695,-0.07860118273311185
4.92062976837158,-0.09004027024003848
5.51092435836792,-0.0769498948695249
5.53936599731445,-0.03857830936726967
6.13250648498535,-0.01902287510905842
6.18698595046997,-0.00922789593697983
6.8013228225708,-0.01026131191664206
6.81894407272339,-0.018155741897251908
7.47020172119141,-0.017457714649629738
7.47165742874146,-0.019714490780075956
8.13855297088623,-0.018172972585449802
8.17071025848389,-0.015158105792217352
8.80426029205322,-0.011642793545321429
8.89005886077881,-0.004016933345901162
9.49973140716553,0.0028398841845768547
9.63203937530518,0.007007369794727165
10.2129074478149,0.016750065380979395
10.3635325622559,0.027126362422923676
10.9391665649414,0.023873050763235107
11.1232836151123,0.012163871335039123
11.6794666290283,0.003817295696804321
11.9131301116943,-0.0020774950677485797
12.4813626480103,-0.004017221600500316
12.6788915634155,-0.008667302137602095
13.2731414413452,-0.006459229897516731
13.4518675231934,-0.003862287033657555
14.0711106491089,0.009762415182321044
14.1756066513062,0.028595599199543742
14.8607186508179,0.05408244550448302
14.9453095245361,0.07739912872197297
15.5672840118408,0.10545328469693033
15.5797387313843,0.13156164511255652
16.3616979980469,0.16405120417399174
16.3732559204102,0.1989695700779013
17.1311767578125,0.23984623548094253
17.164641418457,0.27672952583810506
17.8911487579346,0.31916730783203007
17.9189163970947,0.3636498889669034
18.6697883605957,0.40615774333532617
18.7066087341309,0.4430960892575987
19.4627835083008,0.4704640466393064
19.485699005127,0.4787555148450171
20.2574830627441,0.4888144429026566
20.2961119842529,0.4984890765914505
21.0956649780273,0.505993836443308
21.2202096557617,0.4969966911154665
22.0085040283203,0.49614203518936484
22.2592531585693,0.4998849749765448
23.066696395874,0.5039755277768245
23.1619023132324,0.5113466114171028
23.986448135376,0.5261095779842636
24.0050330352783,0.5348308083222817
24.7927953338623,0.5403457306610715
24.9158363342285,0.5440554713806964
25.6544738769531,0.5395222388371128
25.6993364715576,0.5374296236978795
26.5010394287109,0.545685391760341
26.5963798522949,0.5565919241345483
27.4368797302246,0.5546764762065381
27.4933435821533,0.5455365146794304
28.2821105957031,0.5461659475408607
28.5175443267822,0.5490093973185601
29.2872246551514,0.5507605525535846
29.4667154693604,0.5555156342049921
30.2210137939453,0.550021362530061
30.3823881530762,0.5323535562838382
31.142970123291,0.5257331009903825
31.2521376037598,0.5243202265104294
32.0360189819336,0.5296472205039982
32.1069091033936,0.544091868987155
32.9717327880859,0.5576552856195467
32.97193359375,0.5699120290780249
33.8361077880859,0.5764441302488368
33.8799230957031,0.5846530225836555
34.7320016479492,0.5886906370650882
34.7511166381836,0.578840400476218
35.6024340820313,0.57278344587206
35.6088414001465,0.5800141741014069
36.4458760070801,0.5764326290788622
36.4593852233887,0.5594249763791304
37.3029371643066,0.5497123801973474
37.3097019958496,0.5441449366001718
38.1654528808594,0.5382320231974891
38.166911315918,0.5300009430760393
39.0086016845703,0.5217928170998682
39.0506571960449,0.5171608056151227
39.8725813293457,0.5153581589714826
39.8946340942383,0.5166675682604058
40.7214031982422,0.5131610929816111
40.7825486755371,0.5103892285956664
41.584514465332,0.5206384466557976
41.6709368896484,0.5314210128938333
42.4634460449219,0.5320778200857155
42.5618321228027,0.5385844674551372
43.3449102783203,0.5491072734575992
43.4693241882324,0.557342958130365
44.2236128234863,0.5538485598786003
44.3404402160645,0.5422577518125289
45.1065956115723,0.5366641593895036
45.2103184509277,0.5307175541075448
