Temperature (K),Hall Resistivity Antisym (uOhm-cm),Hall Coefficient (mm^3/C),Longitudinal Resistivity Sym (uOhm-cm)
2.14558389663696,-0.0027522221967433784,-0.0030580246630481983,-0.01834064053566178
2.71199420928955,-0.03075464442544203,-0.03417182713938003,-0.013088045059050955
2.77891659736633,-0.030205441952757355,-0.03356160216973039,-0.01206280524731353
3.22578763008118,-0.04210883779457174,-0.04678759754952415,0.00891291414548617
3.36301222801209,-0.0390364608072693,-0.04337384534141033,0.0169623820530188
3.73263313293457,-0.029185078492464177,-0.032427864991626865,0.016180579544116558
3.98538988113403,-0.02330811632544907,-0.025897907028276743,0.0037955241064634116
4.26303218841553,5.970750207521733e-05,6.63416689724637e-05,-0.00484328196469468
4.65240753173828,0.008956142220284794,0.009951269133649772,-0.010380981512935707
4.79221040725708,0.009299871434569035,0.010333190482854483,-0.010747561571906069
5.36530979156494,0.01659567610554183,0.0184396401172687,-0.029033528417038518
5.40327831268311,0.017965761806439433,0.01996195756271048,-0.027994617358612563
5.97851293563843,0.021908604427041754,0.02434289380782417,-0.01037028126927536
6.19121063232422,0.01485160633005024,0.016501784811166934,-0.010462792794654518
6.59653249740601,0.014216572573635292,0.015796191748483658,-0.009928518263157975
7.05776880264282,-0.004843733781510659,-0.005381926423900733,-0.009980982412460468
7.23167413711548,-0.011263185696204025,-0.012514650773560029,-0.009242877794993845
7.88504550933838,0.012259852720370026,0.013622058578188916,0.009049449487588368
7.98496618270874,0.017135815220342167,0.019039794689269075,0.007085454198110422
8.53419971466064,0.0121951123291459,0.013550124810162113,-0.007435854641881795
8.89562419891357,-0.0241858255914469,-0.02687313954605211,0.00421582000980497
9.18556594848633,-0.03925527811791165,-0.0436169756865685,0.006500978172110393
9.8242212677002,-0.008102767017488254,-0.009003074463875839,-0.010048822664918546
9.84300807952881,-0.007666666597773927,-0.00851851844197103,-0.009880463939044603
10.5202478790283,0.013158154481549313,0.014620171646165903,-0.005720343526959779
10.8182649230957,0.0020571950038399955,0.002285772226488884,0.002588281772510974
11.2241209030151,-0.03548328673502574,-0.03942587415002859,0.007542556829402104
11.844589881897,-0.0049892520645381105,-0.0055436134050423445,0.003330150821837229
11.9456624984741,-0.01473982441711326,-0.0163775826856814,0.0010515624889307043
12.6956157684326,0.019398376325082234,0.021553751472313594,-0.018994377697309307
12.7977013397217,0.009587939106475152,0.01065326567386128,-0.019095647121117453
13.4571494674683,0.057978463383631273,0.06442051487070141,0.025466631732564433
13.7940801620483,-0.009806830698252667,-0.010896478553614074,0.09135197475010595
14.2249171829224,-0.06234653929464151,-0.06927393254960168,0.3587248590414672
14.7486959457397,0.05299930647831824,0.058888118309242496,1.061373391978154
14.9944911956787,0.017105310790236694,0.01900590087804077,1.7608462845140411
15.6629144287109,-0.018258759848030715,-0.020287510942256348,4.673260357687685
15.6944622039795,-0.014788206780703028,-0.01643134086744781,4.872227097562131
16.4409340667725,0.137608707573585,0.15289856397065002,10.6978871465432
16.6444854736328,0.15075606326791335,0.16750673696434817,12.23852794453796
17.1656295776367,0.1802185135344503,0.2002427928160559,15.737974542597435
17.6048350524902,0.15349438115424996,0.17054931239361107,18.173810850946857
17.87999168396,0.13684331505133585,0.1520481278348176,19.343961191466164
18.5358491516113,0.21251986940851197,0.23613318823167997,21.5222803362441
18.6255991363525,0.21659373976322582,0.24065971084802867,21.749543365605398
19.3666996765137,0.30304007350120177,0.33671119277911304,23.21729908398367
19.552352142334,0.318384649796811,0.3537607219964567,23.537779493349493
20.1277763366699,0.2653782682253074,0.2948647424725638,24.35980912284738
20.5345983886719,0.28694268314051863,0.31882520348946514,24.89162420174655
20.9070446777344,0.3709866973844622,0.41220744153829136,25.34184515461956
21.6555965423584,0.35726144050598396,0.39695715611775995,26.21094901727265
21.7787331390381,0.3799999289697489,0.42222214329972096,26.34062115315086
22.7549703979492,0.47075668989053954,0.5230629887672662,27.293667894986925
22.9877984619141,0.4389128987693285,0.48768099863258724,27.51130790076407
23.6581340789795,0.3901538457457736,0.43350427305085953,28.11450636138823
24.1603511047363,0.3711838333041282,0.4124264814490313,28.57003954848011
24.4556725311279,0.3784468236125158,0.4204964706805731,28.82264477991086
25.2155442810059,0.3846457233835361,0.42738413709281786,29.43581177339651
25.3031273651123,0.39126010495336616,0.43473344994818464,29.50666014516574
26.1939154052734,0.4304116583031059,0.4782351758923399,30.243885300787714
26.2671044921875,0.43559588099759017,0.4839954233306557,30.302390445338666
27.1161740112305,0.40825426571816914,0.4536158507979657,30.9740487131941
27.3674548339844,0.41250328258254876,0.4583369806472764,31.1725776235802
28.015252456665,0.43814142930432376,0.48682381033813754,31.68720469892174
28.650963973999,0.3718534569974663,0.41317050777496256,32.20457067175508
28.8852532196045,0.3680802173682629,0.40897801929806993,32.398740349072966
29.7304341125488,0.45167740458804717,0.501863782875608,33.07290520147433
29.8806635284424,0.46192381146482275,0.5132486794053586,33.196336899790644
30.5578340911865,0.44831195527398227,0.4981243947488692,33.739474196103956
31.0062162780762,0.406430547642173,0.4515894973801923,34.09130366781598
31.3810547637939,0.3844137088079571,0.42712634311995235,34.38132476788873
32.1350295257568,0.4237425222973621,0.4708250247748468,34.98505620629435
32.2117630767822,0.4263406760885755,0.47371186232063944,35.046560968679756
33.0370004272461,0.3573311982096825,0.39703466467742504,35.68415135488378
33.2683923339844,0.369671102167062,0.4107456690745134,35.863879916465905
33.8725003051758,0.4263383629778701,0.47370929219763347,36.33529132861942
34.3739147949219,0.4020449809219029,0.446716645468781,36.720129763579706
34.7174868774414,0.3715648555810096,0.41284983953445514,36.98744227048016
35.4999569702148,0.3759171023486869,0.4176856692763188,37.62017580482374
35.5600881958008,0.3768050865985786,0.41867231844286507,37.66799596143072
36.4015596008301,0.3681925606931733,0.40910284521463697,38.32268988167597
36.6559327697754,0.3719968117642336,0.41332979084914845,38.51808072977377
37.2510389709473,0.3848163916312415,0.42757376847915723,38.969564500212414
37.7578594970703,0.3778019144759638,0.4197799049732931,39.358553559904166
38.089436340332,0.36309610825906724,0.4034401202878525,39.62039910775764
38.8545558166504,0.33835065840390943,0.37594517600434385,40.23024281728971
38.9058474731445,0.33899529502869696,0.3766614389207744,40.270120898198584
39.7356666564941,0.3130855482589804,0.3478728313988671,40.88492051859026
39.9155696105957,0.3297421170425573,0.36638013004728587,41.02558258417874
40.5656028747559,0.38497473340953814,0.4277497037883757,41.54165124330707
41.0168672180176,0.3783636683338869,0.420404075926541,41.88831800923559
41.3928959655762,0.3725508165866942,0.4139453517629935,42.16700113627259
42.0661251831055,0.4104209487215828,0.4560232763573142,42.653211692554294
42.2471186828613,0.4171359794493925,0.4634844216104361,42.78439027040506
43.0696304321289,0.3945834251461158,0.43842602794012864,43.449691289606406
43.1570974731445,0.39798912593935826,0.4422101399326203,43.51338018235315
43.9024630737305,0.4278386117423157,0.47537623526923967,44.07021210756663
44.2575384521484,0.4151151064324845,0.461239007147205,44.34156867914731
44.7403137207031,0.408382213765953,0.45375801529550336,44.71680298835432
45.357057800293,0.3851199417373138,0.4279110463747931,45.19615457086177
45.5604840087891,0.38636102843049086,0.4292900315894343,45.34866399995262
46.4111111450195,0.42797663492430615,0.4755295943603402,46.00025528999522
46.495744934082,0.43282948027052803,0.4809216447450312,46.06183372304747
47.2851373291016,0.39721911702278445,0.4413545744697605,46.64051369276374
47.6227529907227,0.3780111164558311,0.4200123516175901,46.905962966494144
48.1357852172852,0.38381631706327946,0.42646257451475494,47.32010371938845
48.751324005127,0.39886283384393295,0.4431809264932588,47.789133709050404
48.9879722595215,0.394245651865945,0.43805072429549446,47.967232736331574
49.8411862182617,0.37380454691221404,0.4153383854580156,48.64246562830029
49.8880558776855,0.3742262332352493,0.4158069258169436,48.67812961843808
50.6882046508789,0.38965071257905215,0.43294523619894687,49.2784360656685
