Temperature (K),Resistivity (mOhm-cm)
2.05596962928772,-0.00010577423525046927
2.20429767608643,-6.576410994570331e-05
2.36214354515076,-0.00010416184192021305
2.51020699501038,-0.00010498568017317216
2.65179851531982,-0.00011820291599528898
2.7960876750946,-5.426638900920347e-05
2.94710105895996,-9.291571352914609e-05
3.09724123954773,-9.334554789569201e-05
3.24518453598022,-8.994265805962654e-05
3.38393913269043,-0.00012149789080853235
3.530885181427,-9.076522923145603e-05
3.68335123062134,-9.416802708689841e-05
3.82590435981751,-8.757757936945833e-05
3.97466415405273,-0.00010004317552692113
4.11266632080078,-9.148237515379151e-05
4.25755523681641,-0.00011515889983937991
4.40708862304688,-8.252804036476851e-05
4.55784032821655,-0.00010423470965426522
4.70836721420288,-0.00010939271382103464
4.85723714828491,-4.989655753028968e-05
5.00084568023682,-9.019359275756869e-05
5.1414747428894,-9.17338322155411e-05
5.28687305450439,-0.00010656312097555198
5.4384778213501,-9.45271767634405e-05
5.59237920761108,-9.649667658471122e-05
5.73971792221069,-9.055070320092912e-05
5.89110462188721,-0.00010577382479255894
6.04511995315552,-9.00850809169243e-05
6.19144014358521,-7.031292836510143e-05
6.33434507369995,-7.643799876219423e-05
6.49182981491089,-0.00010126106487638012
6.63866970062256,-0.00010280161888655123
6.77096635818481,-9.012155899570653e-05
6.90445976257324,-8.718436970008945e-05
7.06239799499512,-9.581536854293527e-05
7.20852344512939,-0.00010079383998435781
7.35585502624512,-8.68245439543806e-05
7.49806118011475,-8.954671016430429e-05
7.64382089614868,-8.861686942858351e-05
7.78798681259155,-9.244953059128186e-05
7.92432613372803,-8.972726733764374e-05
8.06905364990234,-5.577058015146807e-05
8.21225933074951,-8.539296829792872e-05
8.34836669921875,-9.201952092457756e-05
8.49575061798096,-8.614517098103528e-05
8.64598194122314,-6.289878374557463e-05
8.78642990112305,-9.997215142582722e-05
8.92751735687256,-8.747115521230169e-05
9.07035999298096,-7.751334113707336e-05
9.21283714294434,-5.014706941583428e-05
9.35431476593018,-8.510674583142649e-05
9.49385555267334,-8.166809034732518e-05
9.62944835662842,-8.564405640139753e-05
